RRInterval,PPInterval,QTInterval,RRInterval_mean,RRInterval_var,RRInterval_min,RRInterval_max,RRInterval_delta,PPInterval_mean,PPInterval_var,PPInterval_min,PPInterval_max,PPInterval_delta,QTInterval_mean,QTInterval_var,QTInterval_min,QTInterval_max,QTInterval_delta
1084.0,1090.0,448.0,1084.0,0.0,1084.0,1084.0,0.0,1090.0,0.0,1090.0,1090.0,0.0,448.0,0.0,448.0,448.0,0.0
960.0,965.0,414.0,1022.0,3844.0,960.0,1084.0,-124.0,1027.5,3906.25,965.0,1090.0,-125.0,431.0,289.0,414.0,448.0,-34.0
1082.0,1090.0,432.0,1042.0,3362.6666666666665,960.0,1084.0,122.0,1048.3333333333333,3472.222222222224,965.0,1090.0,125.0,431.3333333333333,192.8888888888889,414.0,448.0,18.0
1262.0,1275.0,430.0,1097.0,11597.0,960.0,1262.0,180.0,1105.0,12237.500000000004,965.0,1275.0,185.0,431.0,145.0,414.0,448.0,-2.0
1590.0,1575.0,494.0,1195.6,48165.44000000001,960.0,1590.0,328.0,1199.0,45134.0,965.0,1575.0,300.0,443.6,751.0399999999997,414.0,494.0,64.0
958.0,950.0,426.0,1170.4,56330.24000000001,958.0,1590.0,-632.0,1171.0,54374.0,950.0,1575.0,-625.0,439.2,789.7599999999996,414.0,494.0,-68.0
862.0,865.0,400.0,1150.8,66114.56000000001,862.0,1590.0,-96.0,1151.0,64214.0,865.0,1575.0,-85.0,436.4,962.2399999999994,400.0,494.0,-26.0
1250.0,1250.0,462.0,1184.4,66007.04000000001,862.0,1590.0,388.0,1183.0,64406.0,865.0,1575.0,385.0,442.4,1053.4399999999996,400.0,494.0,62.0
978.0,980.0,432.0,1127.6,70096.64000000001,862.0,1590.0,-272.0,1124.0,67474.0,865.0,1575.0,-270.0,442.8,1044.1599999999996,400.0,494.0,-30.0
1144.0,1150.0,428.0,1038.4,19431.039999999994,862.0,1250.0,166.0,1039.0,19704.0,865.0,1250.0,170.0,429.6,389.4399999999998,400.0,462.0,-4.0
1444.0,1425.0,482.0,1135.6,41592.64000000002,862.0,1444.0,300.0,1134.0,38894.0,865.0,1425.0,275.0,440.8,810.5599999999997,400.0,482.0,54.0
910.0,905.0,392.0,1145.2,36708.16000000003,910.0,1444.0,-534.0,1142.0,34846.0,905.0,1425.0,-520.0,439.2,951.3599999999994,392.0,482.0,-90.0
1196.0,1200.0,428.0,1134.4,34911.04000000003,910.0,1444.0,286.0,1132.0,33086.0,905.0,1425.0,295.0,432.4,826.2399999999994,392.0,482.0,36.0
1348.0,1330.0,464.0,1208.4,33667.840000000026,910.0,1444.0,152.0,1202.0,31406.0,905.0,1425.0,130.0,438.8,984.9599999999994,392.0,482.0,36.0
1112.0,1110.0,426.0,1202.0,34656.00000000002,910.0,1444.0,-236.0,1194.0,32494.0,905.0,1425.0,-220.0,438.4,994.2399999999992,392.0,482.0,-38.0
1084.0,1090.0,440.0,1130.0,20544.000000000022,910.0,1348.0,-28.0,1127.0,19496.0,905.0,1330.0,-20.0,430.0,543.999999999999,392.0,464.0,14.0
1592.0,1575.0,474.0,1266.4,34947.84000000001,1084.0,1592.0,508.0,1261.0,31824.0,1090.0,1575.0,485.0,446.4,373.43999999999915,426.0,474.0,34.0
946.0,950.0,428.0,1216.4,51987.84000000001,946.0,1592.0,-646.0,1211.0,47924.0,950.0,1575.0,-625.0,446.4,373.43999999999915,426.0,474.0,-46.0
1396.0,1395.0,460.0,1226.0,54883.200000000026,946.0,1592.0,450.0,1224.0,51694.0,950.0,1575.0,445.0,445.6,347.83999999999895,426.0,474.0,32.0
940.0,935.0,432.0,1191.6,67459.84000000001,940.0,1592.0,-456.0,1189.0,64574.0,935.0,1575.0,-460.0,446.8,306.5599999999989,428.0,474.0,-28.0
1242.0,1250.0,440.0,1223.2,64653.76000000001,940.0,1592.0,302.0,1221.0,62334.0,935.0,1575.0,315.0,446.8,306.5599999999989,428.0,474.0,8.0
1234.0,1220.0,430.0,1151.6,32347.840000000015,940.0,1396.0,-8.0,1150.0,32230.0,935.0,1395.0,-30.0,438.0,137.59999999999897,428.0,460.0,-10.0
1278.0,1275.0,460.0,1218.0,22680.00000000002,940.0,1396.0,44.0,1215.0,23130.0,935.0,1395.0,55.0,444.4,173.43999999999906,430.0,460.0,30.0
