,Correlation,Abs Correlation,Correlation (%)
RRInterval,0.7215984392671544,0.7215984392671544,72.15984392671544
PPInterval,0.7159143274122929,0.7159143274122929,71.59143274122928
QTInterval,0.6074824375177532,0.6074824375177532,60.74824375177532
QRSDuration,0.24805918427630844,0.24805918427630844,24.805918427630843
Race_1,0.21317119055262268,0.21317119055262268,21.317119055262268
DiastolicBP,0.17237267466562026,0.17237267466562026,17.237267466562027
QTcInterval,0.1568690803157724,0.1568690803157724,15.68690803157724
MeanArterialPressure,0.1530669357802559,0.1530669357802559,15.306693578025591
Race_5,-0.1508180048410899,0.1508180048410899,15.08180048410899
Race_Unknown,-0.11382142593361397,0.11382142593361397,11.382142593361397
